                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,       train/illum_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,         val/illum_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     91,                0.61003,                0.36143,                 1.3466,                0.00395,                0.83957,                0.83964,                0.87519,                0.73785,                0.63949,                0.38494,                 1.4778,                0.00199,                0.00109,                0.00109,                0.00109
                     92,                0.60611,                0.35893,                 1.3371,                0.00418,                0.83938,                0.83955,                0.87481,                0.73722,                0.63951,                0.38502,                 1.4782,                0.00198,               0.000991,               0.000991,               0.000991
                     93,                 0.6057,                0.35777,                 1.3391,                0.00381,                0.83784,                0.84049,                0.87463,                0.73752,                0.63944,                0.38522,                 1.4784,                0.00197,               0.000892,               0.000892,               0.000892
                     94,                0.60453,                0.35552,                 1.3414,                0.00376,                0.83706,                0.84065,                0.87445,                0.73706,                 0.6394,                0.38533,                 1.4787,                0.00197,               0.000793,               0.000793,               0.000793
                     95,                0.60434,                0.35536,                 1.3382,                 0.0037,                0.83583,                0.84011,                0.87394,                0.73695,                0.63938,                0.38541,                 1.4789,                0.00196,               0.000694,               0.000694,               0.000694
                     96,                0.60033,                0.35314,                 1.3391,                0.00376,                0.83513,                0.83946,                0.87363,                0.73709,                 0.6393,                 0.3855,                  1.479,                0.00193,               0.000595,               0.000595,               0.000595
                     97,                0.59843,                0.35046,                 1.3327,                0.00405,                0.83331,                0.84158,                0.87296,                0.73666,                0.63934,                0.38574,                 1.4793,                0.00193,               0.000496,               0.000496,               0.000496
                     98,                0.59716,                0.34918,                 1.3291,                0.00372,                0.83186,                0.84291,                0.87249,                0.73631,                0.63928,                0.38589,                 1.4795,                0.00191,               0.000397,               0.000397,               0.000397
                     99,                0.59651,                 0.3489,                  1.325,                0.00363,                0.83147,                0.84265,                0.87232,                0.73617,                0.63936,                0.38611,                 1.4797,                 0.0019,               0.000298,               0.000298,               0.000298
                    100,                0.59536,                0.34708,                  1.331,                0.00377,                0.83123,                0.84343,                0.87205,                0.73579,                0.63947,                0.38627,                 1.4799,                0.00189,               0.000199,               0.000199,               0.000199
